FID,BuildingsWithin25m,BTAWithin25m,BuildingsWithin25mWithamenityData,BTAWithin25mWithamenityData,BuildingsWithin25mWithnameData,BTAWithin25mWithnameData,BuildingsWithin25mWithwebsiteData,BTAWithin25mWithwebsiteData,BuildingsWithin25mWithreligionData,BTAWithin25mWithreligionData,BuildingsWithin100m,BTAWithin100m,BuildingsWithin100mWithamenityData,BTAWithin100mWithamenityData,BuildingsWithin100mWithnameData,BTAWithin100mWithnameData,BuildingsWithin100mWithwebsiteData,BTAWithin100mWithwebsiteData,BuildingsWithin100mWithreligionData,BTAWithin100mWithreligionData,BuildingsWithin225m,BTAWithin225m,BuildingsWithin225mWithamenityData,BTAWithin225mWithamenityData,BuildingsWithin225mWithnameData,BTAWithin225mWithnameData,BuildingsWithin225mWithwebsiteData,BTAWithin225mWithwebsiteData,BuildingsWithin225mWithreligionData,BTAWithin225mWithreligionData,BuildingsWithin400m,BTAWithin400m,BuildingsWithin400mWithamenityData,BTAWithin400mWithamenityData,BuildingsWithin400mWithnameData,BTAWithin400mWithnameData,BuildingsWithin400mWithwebsiteData,BTAWithin400mWithwebsiteData,BuildingsWithin400mWithreligionData,BTAWithin400mWithreligionData,BuildingsWithin625m,BTAWithin625m,BuildingsWithin625mWithamenityData,BTAWithin625mWithamenityData,BuildingsWithin625mWithnameData,BTAWithin625mWithnameData,BuildingsWithin625mWithwebsiteData,BTAWithin625mWithwebsiteData,BuildingsWithin625mWithreligionData,BTAWithin625mWithreligionData
30847437,0,0,0,0,0,0,0,0,0,0,32,10760,0,0,0,0,0,0,0,0,120,47960,2,9744,2,9744,0,0,0,0,323,167949,2,9744,6,10972,0,0,0,0,568,342122,4,12369,9,17584,0,0,1,1725
30847627,0,0,0,0,0,0,0,0,0,0,3,2649,0,0,0,0,0,0,0,0,30,56647,0,0,1,25263,0,0,0,0,112,248376,1,732,7,132487,0,0,1,732,221,412825,3,16797,10,149734,0,0,1,732
30847628,2,1995,0,0,0,0,0,0,0,0,16,12198,0,0,0,0,0,0,0,0,94,54558,0,0,0,0,0,0,0,0,258,186606,4,19023,4,17505,3,17415,0,0,456,392590,12,99525,6,88977,3,17415,0,0
30847629,2,1995,0,0,0,0,0,0,0,0,16,12198,0,0,0,0,0,0,0,0,94,54558,0,0,0,0,0,0,0,0,258,186606,4,19023,4,17505,3,17415,0,0,456,392590,12,99525,6,88977,3,17415,0,0
30847630,2,795,0,0,0,0,0,0,0,0,16,6747,0,0,0,0,0,0,0,0,92,60011,0,0,0,0,0,0,0,0,271,237606,3,17415,4,30174,3,17415,0,0,435,438888,5,88887,9,104295,3,17415,0,0
30847631,2,795,0,0,0,0,0,0,0,0,16,6747,0,0,0,0,0,0,0,0,92,60011,0,0,0,0,0,0,0,0,271,237606,3,17415,4,30174,3,17415,0,0,435,438888,5,88887,9,104295,3,17415,0,0
30847632,0,0,0,0,0,0,0,0,0,0,4,17865,0,0,0,0,0,0,0,0,36,75075,1,15573,1,5076,0,0,0,0,168,179114,3,18264,4,9097,0,0,0,0,319,335349,14,52425,10,29725,3,17415,0,0
30847633,0,0,0,0,0,0,0,0,0,0,4,17865,0,0,0,0,0,0,0,0,36,75075,1,15573,1,5076,0,0,0,0,168,179114,3,18264,4,9097,0,0,0,0,319,335349,14,52425,10,29725,3,17415,0,0
30847634,4,1782,0,0,0,0,0,0,0,0,33,16812,0,0,0,0,0,0,0,0,74,55820,0,0,0,0,0,0,0,0,222,195896,1,4884,0,0,0,0,0,0,288,383834,4,7626,5,34594,2,2730,0,0
30847635,2,1518,0,0,0,0,0,0,0,0,25,13386,0,0,0,0,0,0,0,0,92,64100,1,732,1,732,0,0,1,732,180,190293,1,732,6,14522,0,0,1,732,273,312415,2,6069,9,20675,0,0,2,6069
30847636,2,1518,0,0,0,0,0,0,0,0,25,13386,0,0,0,0,0,0,0,0,92,64100,1,732,1,732,0,0,1,732,180,190293,1,732,6,14522,0,0,1,732,273,312415,2,6069,9,20675,0,0,2,6069
30847809,3,2262,0,0,0,0,0,0,0,0,24,21537,0,0,0,0,0,0,0,0,97,129686,4,733,6,16480,1,10752,1,259,228,312090,4,733,10,48423,1,10752,1,259,399,492778,5,2488,13,52305,2,12507,1,259
30847810,2,1467,0,0,0,0,0,0,0,0,21,17094,0,0,0,0,0,0,0,0,69,129364,0,0,1,4752,0,0,0,0,221,300349,6,3463,13,53201,3,13482,1,259,336,450487,6,3463,13,53201,3,13482,1,259
30847811,2,1467,0,0,0,0,0,0,0,0,21,17094,0,0,0,0,0,0,0,0,69,129364,0,0,1,4752,0,0,0,0,221,300349,6,3463,13,53201,3,13482,1,259,336,450487,6,3463,13,53201,3,13482,1,259
30847812,2,1467,0,0,0,0,0,0,0,0,21,17094,0,0,0,0,0,0,0,0,69,129364,0,0,1,4752,0,0,0,0,221,300349,6,3463,13,53201,3,13482,1,259,336,450487,6,3463,13,53201,3,13482,1,259
30847813,2,1467,0,0,0,0,0,0,0,0,21,17094,0,0,0,0,0,0,0,0,69,129364,0,0,1,4752,0,0,0,0,221,300349,6,3463,13,53201,3,13482,1,259,336,450487,6,3463,13,53201,3,13482,1,259
30847814,1,372,0,0,0,0,0,0,0,0,32,12072,0,0,1,1305,1,1305,0,0,114,51048,0,0,2,15084,1,1305,0,0,334,133079,3,8529,3,22074,2,8295,0,0,576,244976,19,52401,13,50880,10,36795,5,11085
30847815,1,372,0,0,0,0,0,0,0,0,32,12072,0,0,1,1305,1,1305,0,0,114,51048,0,0,2,15084,1,1305,0,0,334,133079,3,8529,3,22074,2,8295,0,0,576,244976,19,52401,13,50880,10,36795,5,11085
30847816,2,487,0,0,0,0,0,0,0,0,27,14527,0,0,0,0,0,0,0,0,104,61143,0,0,1,852,0,0,0,0,274,202836,1,5412,4,21231,0,0,0,0,477,523290,6,94299,12,150687,3,17415,0,0
30847817,2,487,0,0,0,0,0,0,0,0,27,14527,0,0,0,0,0,0,0,0,104,61143,0,0,1,852,0,0,0,0,274,202836,1,5412,4,21231,0,0,0,0,477,523290,6,94299,12,150687,3,17415,0,0
30847818,1,2316,0,0,0,0,0,0,0,0,13,20625,0,0,0,0,0,0,0,0,47,65931,1,2586,0,0,0,0,0,0,144,263896,1,2586,2,14151,0,0,0,0,261,665492,7,37510,8,47110,1,27928,2,2688
30847215,1,9198,0,0,0,0,0,0,0,0,9,39657,1,480,1,480,1,480,1,480,40,161211,2,2043,2,2043,2,2043,1,480,148,384481,6,17182,5,15937,5,15937,2,4860,323,615703,8,23230,8,30742,6,28894,2,4860
30847216,1,9198,0,0,0,0,0,0,0,0,9,39657,1,480,1,480,1,480,1,480,40,161211,2,2043,2,2043,2,2043,1,480,148,384481,6,17182,5,15937,5,15937,2,4860,323,615703,8,23230,8,30742,6,28894,2,4860
30847217,1,9198,0,0,0,0,0,0,0,0,9,39657,1,480,1,480,1,480,1,480,40,161211,2,2043,2,2043,2,2043,1,480,148,384481,6,17182,5,15937,5,15937,2,4860,323,615703,8,23230,8,30742,6,28894,2,4860
30847218,1,9198,0,0,0,0,0,0,0,0,9,39657,1,480,1,480,1,480,1,480,40,161211,2,2043,2,2043,2,2043,1,480,148,384481,6,17182,5,15937,5,15937,2,4860,323,615703,8,23230,8,30742,6,28894,2,4860
30847219,1,9198,0,0,0,0,0,0,0,0,9,39657,1,480,1,480,1,480,1,480,40,161211,2,2043,2,2043,2,2043,1,480,148,384481,6,17182,5,15937,5,15937,2,4860,323,615703,8,23230,8,30742,6,28894,2,4860
30847220,1,9198,0,0,0,0,0,0,0,0,9,39657,1,480,1,480,1,480,1,480,40,161211,2,2043,2,2043,2,2043,1,480,148,384481,6,17182,5,15937,5,15937,2,4860,323,615703,8,23230,8,30742,6,28894,2,4860
30847221,1,2076,0,0,0,0,0,0,0,0,5,15009,0,0,0,0,0,0,0,0,20,43079,0,0,1,1146,0,0,0,0,87,146131,1,258,2,1404,0,0,0,0,121,260311,2,3279,3,4425,0,0,0,0
30847222,1,2076,0,0,0,0,0,0,0,0,5,15009,0,0,0,0,0,0,0,0,20,43079,0,0,1,1146,0,0,0,0,87,146131,1,258,2,1404,0,0,0,0,121,260311,2,3279,3,4425,0,0,0,0
30847223,1,1974,0,0,0,0,0,0,0,0,8,39141,1,480,1,480,1,480,1,480,35,156147,1,480,1,480,1,480,1,480,135,402501,7,18304,6,17059,5,15937,2,4860,273,587910,8,23230,7,17785,5,15937,2,4860
30847224,1,1974,0,0,0,0,0,0,0,0,8,39141,1,480,1,480,1,480,1,480,35,156147,1,480,1,480,1,480,1,480,135,402501,7,18304,6,17059,5,15937,2,4860,273,587910,8,23230,7,17785,5,15937,2,4860
30847225,1,1974,0,0,0,0,0,0,0,0,8,39141,1,480,1,480,1,480,1,480,35,156147,1,480,1,480,1,480,1,480,135,402501,7,18304,6,17059,5,15937,2,4860,273,587910,8,23230,7,17785,5,15937,2,4860
30847226,1,1974,0,0,0,0,0,0,0,0,8,39141,1,480,1,480,1,480,1,480,35,156147,1,480,1,480,1,480,1,480,135,402501,7,18304,6,17059,5,15937,2,4860,273,587910,8,23230,7,17785,5,15937,2,4860
30847227,1,1974,0,0,0,0,0,0,0,0,8,39141,1,480,1,480,1,480,1,480,35,156147,1,480,1,480,1,480,1,480,135,402501,7,18304,6,17059,5,15937,2,4860,273,587910,8,23230,7,17785,5,15937,2,4860
30847228,1,1974,0,0,0,0,0,0,0,0,8,39141,1,480,1,480,1,480,1,480,35,156147,1,480,1,480,1,480,1,480,135,402501,7,18304,6,17059,5,15937,2,4860,273,587910,8,23230,7,17785,5,15937,2,4860
30847438,0,0,0,0,0,0,0,0,0,0,32,10760,0,0,0,0,0,0,0,0,120,47960,2,9744,2,9744,0,0,0,0,323,167949,2,9744,6,10972,0,0,0,0,568,342122,4,12369,9,17584,0,0,1,1725
30847439,0,0,0,0,0,0,0,0,0,0,37,8119,0,0,0,0,0,0,0,0,134,34439,0,0,0,0,0,0,0,0,304,175422,2,9744,5,10770,0,0,0,0,517,359818,4,12369,10,21728,1,4144,1,1725
30847440,0,0,0,0,0,0,0,0,0,0,37,8119,0,0,0,0,0,0,0,0,134,34439,0,0,0,0,0,0,0,0,304,175422,2,9744,5,10770,0,0,0,0,517,359818,4,12369,10,21728,1,4144,1,1725
30847441,1,45,0,0,0,0,0,0,0,0,33,6148,0,0,0,0,0,0,0,0,131,50043,0,0,1,190,0,0,0,0,291,189817,2,9744,4,10118,0,0,0,0,470,389285,5,12538,11,21897,1,4144,1,1725
30847442,1,45,0,0,0,0,0,0,0,0,33,6148,0,0,0,0,0,0,0,0,131,50043,0,0,1,190,0,0,0,0,291,189817,2,9744,4,10118,0,0,0,0,470,389285,5,12538,11,21897,1,4144,1,1725
30847443,0,0,0,0,0,0,0,0,0,0,9,22218,0,0,0,0,0,0,0,0,37,98946,6,26208,2,19680,0,0,0,0,108,274461,10,37929,2,19680,0,0,0,0,161,392952,12,47379,2,19680,0,0,0,0
30847444,0,0,0,0,0,0,0,0,0,0,13,27747,0,0,0,0,0,0,0,0,64,75405,0,0,0,0,0,0,0,0,121,167733,1,4584,1,4584,0,0,1,4584,165,264738,2,4737,3,14760,0,0,1,4584
30847445,0,0,0,0,0,0,0,0,0,0,13,27747,0,0,0,0,0,0,0,0,64,75405,0,0,0,0,0,0,0,0,121,167733,1,4584,1,4584,0,0,1,4584,165,264738,2,4737,3,14760,0,0,1,4584
30847446,0,0,0,0,0,0,0,0,0,0,14,35526,0,0,0,0,0,0,0,0,70,104777,0,0,1,360,0,0,0,0,208,269309,1,5337,3,6250,0,0,1,5337,364,430624,2,6069,6,14080,1,1899,2,6069
30847447,0,0,0,0,0,0,0,0,0,0,14,35526,0,0,0,0,0,0,0,0,70,104777,0,0,1,360,0,0,0,0,208,269309,1,5337,3,6250,0,0,1,5337,364,430624,2,6069,6,14080,1,1899,2,6069
30847448,1,216,0,0,0,0,0,0,0,0,6,39769,0,0,0,0,0,0,0,0,68,108278,0,0,1,360,0,0,0,0,212,267608,1,5337,4,8149,1,1899,1,5337,372,445156,1,5337,5,17743,1,1899,1,5337
30847449,1,216,0,0,0,0,0,0,0,0,6,39769,0,0,0,0,0,0,0,0,68,108278,0,0,1,360,0,0,0,0,212,267608,1,5337,4,8149,1,1899,1,5337,372,445156,1,5337,5,17743,1,1899,1,5337
30847637,0,0,0,0,0,0,0,0,0,0,7,14217,0,0,0,0,0,0,0,0,58,111253,2,7269,4,15003,0,0,0,0,226,305338,5,12387,11,48414,0,0,1,1059,416,501040,5,12387,13,63297,0,0,1,1059
30847638,0,0,0,0,0,0,0,0,0,0,7,14217,0,0,0,0,0,0,0,0,58,111253,2,7269,4,15003,0,0,0,0,226,305338,5,12387,11,48414,0,0,1,1059,416,501040,5,12387,13,63297,0,0,1,1059
30847639,0,0,0,0,0,0,0,0,0,0,12,19632,0,0,0,0,0,0,0,0,72,103375,1,5412,3,13146,0,0,0,0,243,291742,5,12387,10,35655,0,0,1,1059,456,537253,5,12387,13,63297,0,0,1,1059
30847640,0,0,0,0,0,0,0,0,0,0,12,19632,0,0,0,0,0,0,0,0,72,103375,1,5412,3,13146,0,0,0,0,243,291742,5,12387,10,35655,0,0,1,1059,456,537253,5,12387,13,63297,0,0,1,1059
30847641,1,1656,0,0,0,0,0,0,0,0,13,16818,0,0,1,4144,1,4144,0,0,50,110753,0,0,1,4144,1,4144,0,0,169,303184,1,169,2,4313,1,4144,0,0,328,411114,1,169,5,4780,1,4144,0,0
30847642,1,1656,0,0,0,0,0,0,0,0,13,16818,0,0,1,4144,1,4144,0,0,50,110753,0,0,1,4144,1,4144,0,0,169,303184,1,169,2,4313,1,4144,0,0,328,411114,1,169,5,4780,1,4144,0,0
30847643,0,0,0,0,0,0,0,0,0,0,14,22096,0,0,1,4144,1,4144,0,0,50,110753,0,0,1,4144,1,4144,0,0,170,304680,1,169,2,4313,1,4144,0,0,321,411449,1,169,5,4780,1,4144,0,0
30847644,0,0,0,0,0,0,0,0,0,0,14,22096,0,0,1,4144,1,4144,0,0,50,110753,0,0,1,4144,1,4144,0,0,170,304680,1,169,2,4313,1,4144,0,0,321,411449,1,169,5,4780,1,4144,0,0
30847645,0,0,0,0,0,0,0,0,0,0,8,23991,0,0,0,0,0,0,0,0,85,108420,1,5766,2,6381,0,0,1,5766,279,242844,1,5766,3,9810,0,0,1,5766,392,330872,1,5766,3,9810,0,0,1,5766
30847646,2,1752,0,0,0,0,0,0,0,0,14,15159,0,0,0,0,0,0,0,0,67,87048,0,0,1,13788,0,0,0,0,174,229000,0,0,2,15495,0,0,0,0,289,385870,0,0,4,19107,0,0,0,0
30847647,1,1191,0,0,0,0,0,0,0,0,9,13062,0,0,0,0,0,0,0,0,47,89343,2,4656,1,14154,1,14154,0,0,136,277614,4,7380,2,14292,1,14154,0,0,246,528680,6,10863,5,18065,1,14154,1,2283
30847648,1,1191,0,0,0,0,0,0,0,0,9,13062,0,0,0,0,0,0,0,0,47,89343,2,4656,1,14154,1,14154,0,0,136,277614,4,7380,2,14292,1,14154,0,0,246,528680,6,10863,5,18065,1,14154,1,2283
30847819,1,2316,0,0,0,0,0,0,0,0,13,20625,0,0,0,0,0,0,0,0,47,65931,1,2586,0,0,0,0,0,0,144,263896,1,2586,2,14151,0,0,0,0,261,665492,7,37510,8,47110,1,27928,2,2688
30847820,1,1452,0,0,0,0,0,0,0,0,12,21582,0,0,0,0,0,0,0,0,53,80604,0,0,1,3522,0,0,0,0,157,230701,1,2586,1,3522,0,0,0,0,283,602770,6,37105,6,46249,1,27928,1,2283
30847821,1,1452,0,0,0,0,0,0,0,0,12,21582,0,0,0,0,0,0,0,0,53,80604,0,0,1,3522,0,0,0,0,157,230701,1,2586,1,3522,0,0,0,0,283,602770,6,37105,6,46249,1,27928,1,2283
30847822,0,0,0,0,0,0,0,0,0,0,8,23991,0,0,0,0,0,0,0,0,86,109440,1,5766,2,6381,0,0,1,5766,279,242844,1,5766,3,9810,0,0,1,5766,392,330872,1,5766,3,9810,0,0,1,5766
30847823,1,2133,0,0,0,0,0,0,0,0,10,15459,0,0,0,0,0,0,0,0,46,63657,2,2766,1,138,0,0,0,0,140,260706,3,4794,3,14375,1,14154,0,0,237,509438,5,8277,6,26393,1,14154,1,2283
30847824,1,2133,0,0,0,0,0,0,0,0,10,15459,0,0,0,0,0,0,0,0,46,63657,2,2766,1,138,0,0,0,0,140,260706,3,4794,3,14375,1,14154,0,0,237,509438,5,8277,6,26393,1,14154,1,2283
30847825,1,1008,0,0,0,0,0,0,0,0,11,12971,0,0,0,0,0,0,0,0,43,83812,1,2628,1,14154,1,14154,0,0,126,240631,3,4794,3,14375,1,14154,0,0,240,520400,5,8277,7,26615,2,14376,1,2283
30847826,1,1008,0,0,0,0,0,0,0,0,11,12971,0,0,0,0,0,0,0,0,43,83812,1,2628,1,14154,1,14154,0,0,126,240631,3,4794,3,14375,1,14154,0,0,240,520400,5,8277,7,26615,2,14376,1,2283
30847827,1,1155,0,0,0,0,0,0,0,0,12,16035,0,0,0,0,0,0,0,0,42,54056,0,0,0,0,0,0,0,0,132,205353,3,4794,4,14597,2,14376,0,0,231,613120,5,8277,10,104267,2,14376,1,2283
30847828,1,1155,0,0,0,0,0,0,0,0,12,16035,0,0,0,0,0,0,0,0,42,54056,0,0,0,0,0,0,0,0,132,205353,3,4794,4,14597,2,14376,0,0,231,613120,5,8277,10,104267,2,14376,1,2283
30847829,2,3204,0,0,0,0,0,0,0,0,13,15855,0,0,0,0,0,0,0,0,42,68358,0,0,0,0,0,0,0,0,122,174472,0,0,1,6296,1,6296,0,0,286,358008,0,0,4,22748,1,6296,0,0
30847830,2,4260,0,0,0,0,0,0,0,0,22,18165,0,0,0,0,0,0,0,0,86,64821,1,213,1,213,0,0,0,0,259,242176,2,472,3,11224,1,10752,1,259,350,451983,5,4369,14,53665,2,14388,2,3895
30847831,2,4260,0,0,0,0,0,0,0,0,22,18165,0,0,0,0,0,0,0,0,86,64821,1,213,1,213,0,0,0,0,259,242176,2,472,3,11224,1,10752,1,259,350,451983,5,4369,14,53665,2,14388,2,3895
30847229,0,0,0,0,0,0,0,0,0,0,5,14937,0,0,0,0,0,0,0,0,31,90912,1,480,1,480,0,0,0,0,90,308850,1,480,7,37904,1,5067,0,0,239,437578,2,5955,9,50387,1,5067,0,0
