FID,BTAWithin100m,BTAWithin100mWithAmenityData,BTAWithin100mWithNameData,BTAWithin100mWithReligionData,BTAWithin100mWithWebsiteData,BTAWithin225m,BTAWithin225mWithAmenityData,BTAWithin225mWithNameData,BTAWithin225mWithReligionData,BTAWithin225mWithWebsiteData,BTAWithin25m,BTAWithin25mWithAmenityData,BTAWithin25mWithNameData,BTAWithin400m,BTAWithin400mWithAmenityData,BTAWithin400mWithNameData,BTAWithin400mWithReligionData,BTAWithin400mWithWebsiteData,BTAWithin625m,BTAWithin625mWithAmenityData,BTAWithin625mWithNameData,BTAWithin625mWithReligionData,BTAWithin625mWithWebsiteData,BuildingsWithin100m,BuildingsWithin100mWithAmenityData,BuildingsWithin100mWithNameData,BuildingsWithin100mWithReligionData,BuildingsWithin100mWithWebsiteData,BuildingsWithin225m,BuildingsWithin225mWithAmenityData,BuildingsWithin225mWithNameData,BuildingsWithin225mWithReligionData,BuildingsWithin225mWithWebsiteData,BuildingsWithin25m,BuildingsWithin400m,BuildingsWithin400mWithAmenityData,BuildingsWithin400mWithNameData,BuildingsWithin400mWithReligionData,BuildingsWithin400mWithWebsiteData,BuildingsWithin625m,BuildingsWithin625mWithAmenityData,BuildingsWithin625mWithNameData,BuildingsWithin625mWithReligionData,BuildingsWithin625mWithWebsiteData,END_DAY_0,END_MONTH_0,END_TIME_0,END_TIME_1,START_DAY_1,START_TIME_0,START_TIME_1,VF_PLATSER_0,END_TIME_0_nan_mask,START_TIME_0_nan_mask,START_WEEKDAY_0_nan_mask,VEHICLE_0_nan_mask,VF_PLATS_TYP_0_nan_mask
30871896,118759.0,0.0,42637.0,0.0,0.0,401377.0,0.0,88368.0,0.0,0.0,0.0,0.0,0.0,799336.0,0.0,152071.0,0.0,6556.0,2138476.0,5382.0,653268.0,3954.0,14501.0,4,0,1,0,0,17,0,2,0,0,0,68,0,9,0,1,184,2,31,1,2,0,0,1700,0,0,800,0,0,1,1,0,1,1
30871897,118759.0,0.0,42637.0,0.0,0.0,401377.0,0.0,88368.0,0.0,0.0,0.0,0.0,0.0,799336.0,0.0,152071.0,0.0,6556.0,2138476.0,5382.0,653268.0,3954.0,14501.0,4,0,1,0,0,17,0,2,0,0,0,68,0,9,0,1,184,2,31,1,2,0,0,0,1700,0,0,800,0,0,0,0,1,1
30871898,24759.0,0.0,0.0,0.0,0.0,108978.0,0.0,4908.0,0.0,0.0,0.0,0.0,0.0,300275.0,0.0,30069.0,0.0,0.0,945320.0,4608.0,174489.0,0.0,18060.0,3,0,0,0,0,19,0,4,0,0,0,46,0,9,0,0,96,2,12,0,1,0,0,0,0,0,600,0,0,1,1,1,1,1
30871899,14853.0,0.0,2088.0,0.0,0.0,118119.0,0.0,21375.0,0.0,0.0,1257.0,0.0,0.0,374312.0,0.0,30069.0,0.0,0.0,931721.0,1428.0,160362.0,0.0,0.0,4,0,1,0,0,22,0,8,0,0,1,48,0,9,0,0,95,1,12,0,0,0,0,0,0,0,600,0,0,1,1,1,1,1
30871900,57072.0,0.0,0.0,0.0,0.0,199131.0,0.0,18060.0,0.0,18060.0,0.0,0.0,0.0,580321.0,6963.0,23628.0,3783.0,18060.0,1216890.0,12567.0,112221.0,3783.0,26436.0,4,0,0,0,0,16,0,1,0,1,0,57,3,3,2,1,136,4,10,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1
30871901,42876.0,0.0,0.0,0.0,0.0,149927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422496.0,9480.0,20541.0,696.0,18060.0,1284997.0,12567.0,258561.0,3783.0,26436.0,3,0,0,0,0,12,0,0,0,0,0,47,3,2,1,1,145,4,25,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1
30871902,67770.0,0.0,0.0,0.0,0.0,365021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130242.0,0.0,46124.0,0.0,0.0,2068600.0,11145.0,192933.0,10818.0,37131.0,4,0,0,0,0,24,0,0,0,0,0,83,0,2,0,0,219,5,18,4,3,0,0,0,0,0,600,0,0,1,1,1,1,1
30871903,53911.0,0.0,47773.0,0.0,0.0,123268.0,0.0,82349.0,0.0,8376.0,0.0,0.0,0.0,308508.0,8784.0,179179.0,0.0,8376.0,505143.0,8784.0,234377.0,0.0,8376.0,3,0,2,0,0,14,0,6,0,1,0,46,2,12,0,1,126,2,35,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
30871904,7806.0,0.0,0.0,0.0,0.0,77456.0,0.0,741.0,0.0,0.0,1551.0,0.0,0.0,478790.0,0.0,174556.0,0.0,0.0,1113276.0,12567.0,297682.0,3783.0,26436.0,5,0,0,0,0,12,0,1,0,0,1,61,0,21,0,0,166,4,42,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1
30871905,55879.0,0.0,104.0,0.0,0.0,309895.0,0.0,45835.0,0.0,0.0,0.0,0.0,0.0,886880.0,1428.0,258713.0,0.0,7945.0,2077696.0,1668.0,437759.0,240.0,14501.0,7,0,1,0,0,32,0,2,0,0,0,70,1,10,0,1,174,2,26,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1
30871906,29604.0,0.0,0.0,0.0,0.0,167346.0,0.0,18060.0,0.0,18060.0,2547.0,0.0,0.0,429210.0,9480.0,20892.0,696.0,18060.0,1081918.0,12567.0,109617.0,3783.0,26436.0,4,0,0,0,0,14,0,1,0,1,1,49,3,3,1,1,124,4,10,2,2,0,0,900,0,0,1400,0,0,1,1,1,1,1
30871907,45822.0,0.0,0.0,0.0,0.0,185403.0,0.0,18060.0,0.0,18060.0,9888.0,0.0,0.0,499107.0,9480.0,20541.0,696.0,18060.0,1164089.0,12567.0,94461.0,3783.0,26436.0,5,0,0,0,0,15,0,1,0,1,1,53,3,2,1,1,128,4,9,2,2,0,0,900,0,0,1400,0,0,1,1,1,1,1
30872756,21971.0,0.0,0.0,0.0,0.0,94670.0,2229.0,738.0,738.0,738.0,2304.0,0.0,0.0,249017.0,2229.0,846.0,738.0,846.0,503096.0,2229.0,3021.0,738.0,846.0,15,0,0,0,0,60,2,1,1,1,1,197,2,2,1,2,452,2,3,1,2,0,0,800,800,0,1200,1200,0,1,1,1,1,1
30872757,107430.0,3670.0,3670.0,1670.0,0.0,456314.0,5035.0,55664.0,3035.0,0.0,0.0,0.0,0.0,1457947.0,14107.0,93578.0,7265.0,9072.0,3172949.0,36049.0,320426.0,11123.0,30666.0,4,2,2,1,0,27,3,6,2,0,0,93,5,18,3,2,200,8,33,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1
30872758,34719.0,0.0,0.0,0.0,0.0,110861.0,0.0,14338.0,0.0,0.0,2688.0,0.0,0.0,336092.0,0.0,45880.0,0.0,0.0,642042.0,17144.0,71974.0,4080.0,0.0,7,0,0,0,0,25,0,3,0,0,1,123,0,8,0,0,238,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30872759,42324.0,0.0,0.0,0.0,0.0,250735.0,0.0,0.0,0.0,0.0,9222.0,0.0,0.0,695106.0,0.0,0.0,0.0,0.0,1248563.0,4233.0,4352.0,4233.0,0.0,6,0,0,0,0,15,0,0,0,0,1,43,0,0,0,0,96,1,2,1,0,0,0,900,0,0,1400,0,0,1,1,1,1,1
30872760,26148.0,0.0,0.0,0.0,0.0,351562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634188.0,0.0,0.0,0.0,0.0,1181764.0,4233.0,4233.0,4233.0,0.0,3,0,0,0,0,21,0,0,0,0,0,41,0,0,0,0,88,1,1,1,0,0,0,900,0,0,1400,0,0,1,1,1,1,1
30872761,42324.0,0.0,0.0,0.0,0.0,250735.0,0.0,0.0,0.0,0.0,9222.0,0.0,0.0,695106.0,0.0,0.0,0.0,0.0,1248563.0,4233.0,4352.0,4233.0,0.0,6,0,0,0,0,15,0,0,0,0,1,43,0,0,0,0,96,1,2,1,0,0,0,900,0,0,1400,0,0,1,1,1,1,1
30872762,31551.0,0.0,0.0,0.0,0.0,77762.0,0.0,12935.0,0.0,12935.0,891.0,0.0,0.0,163990.0,1500.0,22459.0,0.0,12935.0,286796.0,1500.0,22459.0,0.0,13995.0,16,0,0,0,0,55,0,1,0,1,1,108,1,3,0,1,179,1,3,0,2,31,10,0,800,1,0,1200,0,0,0,0,1,1
30872763,31551.0,0.0,0.0,0.0,0.0,77762.0,0.0,12935.0,0.0,12935.0,891.0,0.0,0.0,163990.0,1500.0,22459.0,0.0,12935.0,286796.0,1500.0,22459.0,0.0,13995.0,16,0,0,0,0,55,0,1,0,1,1,108,1,3,0,1,179,1,3,0,2,15,5,800,0,16,1200,0,0,1,1,1,1,1
30872764,975.0,0.0,0.0,0.0,0.0,152994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468455.0,0.0,0.0,0.0,0.0,988106.0,4233.0,4233.0,4233.0,0.0,1,0,0,0,0,9,0,0,0,0,0,29,0,0,0,0,71,1,1,1,0,0,0,0,0,0,600,0,0,1,1,1,1,1
30872765,38835.0,0.0,0.0,0.0,0.0,251907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822430.0,4233.0,36236.0,4233.0,0.0,1897061.0,8988.0,210897.0,7560.0,7945.0,2,0,0,0,0,8,0,0,0,0,0,62,1,4,1,0,159,4,18,3,1,0,0,0,0,0,600,0,0,1,1,1,1,1
30872766,91095.0,0.0,1815.0,0.0,40583.0,457087.0,3732.0,162627.0,3732.0,106567.0,0.0,0.0,0.0,1175760.0,3732.0,514952.0,3732.0,301894.0,2603987.0,121648.0,1034327.0,10038.0,449645.0,7,0,1,0,2,33,1,11,1,4,0,66,1,25,1,7,169,6,68,3,14,0,0,0,0,0,0,0,0,0,0,0,1,1
