FID,BuildingsWithin25m,BTAWithin25m,BuildingsWithin25mWithamenityData,BTAWithin25mWithamenityData,BuildingsWithin25mWithnameData,BTAWithin25mWithnameData,BuildingsWithin25mWithwebsiteData,BTAWithin25mWithwebsiteData,BuildingsWithin25mWithreligionData,BTAWithin25mWithreligionData,BuildingsWithin100m,BTAWithin100m,BuildingsWithin100mWithamenityData,BTAWithin100mWithamenityData,BuildingsWithin100mWithnameData,BTAWithin100mWithnameData,BuildingsWithin100mWithwebsiteData,BTAWithin100mWithwebsiteData,BuildingsWithin100mWithreligionData,BTAWithin100mWithreligionData,BuildingsWithin225m,BTAWithin225m,BuildingsWithin225mWithamenityData,BTAWithin225mWithamenityData,BuildingsWithin225mWithnameData,BTAWithin225mWithnameData,BuildingsWithin225mWithwebsiteData,BTAWithin225mWithwebsiteData,BuildingsWithin225mWithreligionData,BTAWithin225mWithreligionData,BuildingsWithin400m,BTAWithin400m,BuildingsWithin400mWithamenityData,BTAWithin400mWithamenityData,BuildingsWithin400mWithnameData,BTAWithin400mWithnameData,BuildingsWithin400mWithwebsiteData,BTAWithin400mWithwebsiteData,BuildingsWithin400mWithreligionData,BTAWithin400mWithreligionData,BuildingsWithin625m,BTAWithin625m,BuildingsWithin625mWithamenityData,BTAWithin625mWithamenityData,BuildingsWithin625mWithnameData,BTAWithin625mWithnameData,BuildingsWithin625mWithwebsiteData,BTAWithin625mWithwebsiteData,BuildingsWithin625mWithreligionData,BTAWithin625mWithreligionData
30878471,1,60,0,0,0,0,0,0,0,0,4,41091,0,0,0,0,0,0,0,0,18,178870,0,0,2,20913,0,0,0,0,86,473904,0,0,28,97848,0,0,0,0,155,970684,0,0,35,260352,0,0,0,0
30878476,0,0,0,0,0,0,0,0,0,0,2,60126,0,0,0,0,0,0,0,0,11,247749,0,0,1,20174,0,0,0,0,48,579978,1,3087,2,23261,0,0,1,3087,84,1135065,2,3783,3,25742,0,0,2,3783
30878477,0,0,0,0,0,0,0,0,0,0,4,34434,1,2013,1,2013,0,0,0,0,28,350000,2,3633,5,49875,0,0,1,1620,85,1125082,2,3633,12,94395,1,35,1,1620,158,2117797,2,3633,22,163518,1,35,1,1620
30878479,0,0,0,0,0,0,0,0,0,0,7,41331,1,2013,1,2013,0,0,0,0,29,427767,2,3633,5,33286,1,35,1,1620,72,1305326,2,3633,8,57398,1,35,1,1620,163,2108958,5,10440,28,151361,2,12751,3,8181
30878480,0,0,0,0,0,0,0,0,0,0,5,36570,0,0,1,14196,0,0,0,0,30,211422,0,0,9,30069,0,0,0,0,61,632012,0,0,12,160362,0,0,0,0,91,1203661,1,1428,15,248834,0,0,0,0
30878485,0,0,0,0,0,0,0,0,0,0,3,66960,0,0,0,0,0,0,0,0,15,240579,0,0,1,20174,0,0,0,0,52,622725,2,3783,2,23261,0,0,2,3783,88,1063935,2,3783,4,43802,1,18060,2,3783
30878486,0,0,0,0,0,0,0,0,0,0,4,50964,0,0,1,7680,0,0,0,0,33,401897,2,3670,7,14322,0,0,1,1670,98,1404088,5,9283,16,71442,2,7758,3,7265,168,2453048,9,24986,29,121411,5,23404,3,7265
30878489,1,1479,0,0,0,0,0,0,0,0,7,43107,0,0,0,0,0,0,0,0,27,134005,0,0,2,12996,0,0,0,0,57,398629,0,0,2,12996,0,0,0,0,84,517081,0,0,2,12996,0,0,0,0
30878493,1,6784,0,0,0,0,0,0,0,0,6,57574,1,12748,2,16921,1,12748,0,0,18,263627,2,12886,3,17059,1,12748,0,0,92,1136279,9,26767,29,128709,7,38121,3,9741,145,1995207,10,28270,40,175636,8,50586,4,11244
30878494,0,0,0,0,0,0,0,0,0,0,3,131524,0,0,0,0,0,0,0,0,28,561050,1,1503,2,1538,1,35,1,1503,81,1398055,5,10440,9,42589,2,12751,3,8181,156,2393372,7,23758,22,116349,4,26546,4,8751
